家賃_num,築年数_num,面積_num,徒歩分_num,駅名,駅カテゴリ,y_true_log,y_pred_log,実家賃,予測家賃
6.2,3,41.85,14,鶴崎駅,郊外,1.824549292051046,1.6881393488852152,6.200000000000001,5.409406317682247
5.1,5,32.23,1,賀来駅,住宅地,1.62924053973028,1.6250238008863647,5.1,5.0785399094929256
4.0,26,25.0,3,高城駅,郊外,1.3862943611198906,1.2909182038478704,4.0,3.6361237262137087
9.6,35,72.0,19,大分駅,中心市街地,2.2617630984737906,1.9546901137107786,9.600000000000001,7.061730351184912
7.4,4,35.03,7,大分駅,中心市街地,2.0014800002101243,1.8225803425586402,7.400000000000001,6.1878045232259
4.5,25,65.0,14,鶴崎駅,郊外,1.5040773967762742,1.7490158835218481,4.5,5.748942262397045
4.7,18,54.85,17,大在駅,その他,1.547562508716013,1.7059597616711788,4.7,5.506668220904039
4.7,17,46.49,20,大在駅,その他,1.547562508716013,1.6200098834952528,4.7,5.0531402590048256
4.9,9,32.44,13,古国府駅,住宅地,1.589235205116581,1.5881810395805334,4.9,4.894837310516124
4.9,9,40.09,18,鶴崎駅,郊外,1.589235205116581,1.6126828524616317,4.9,5.0162510527235895
4.95,15,45.72,9,大在駅,その他,1.599387576580599,1.6320784125117829,4.95,5.114493707107001
5.15,14,42.8,15,牧駅,その他,1.6389967146756448,1.6068436658810115,5.15,4.987045577982284
5.45,6,61.3,27,坂ノ市駅,郊外,1.6956156086751528,1.877360362920212,5.45,6.536228799053941
4.8,26,54.34,18,坂ノ市駅,郊外,1.5686159179138452,1.6186504416183782,4.8,5.046275475721173
4.8,11,44.95,56,鶴崎駅,郊外,1.5686159179138452,1.640552494918183,4.8,5.158018504146868
5.6,20,57.81,17,坂ノ市駅,郊外,1.7227665977411035,1.7127173763315728,5.6,5.544006178480816
6.0,16,58.03,18,大在駅,その他,1.791759469228055,1.759847372664243,6.0,5.811550325266048
4.95,13,45.07,22,鶴崎駅,郊外,1.599387576580599,1.6315304294632786,4.95,5.111691819017527
5.5,6,43.21,13,高城駅,郊外,1.7047480922384253,1.6763887423729271,5.5,5.3462145107156
5.5,3,41.6,11,高城駅,郊外,1.7047480922384253,1.6860095680093026,5.5,5.39789772729488
4.8,13,31.65,12,古国府駅,住宅地,1.5686159179138452,1.5430499046054331,4.8,4.678838543228948
5.4,7,41.6,10,滝尾駅,住宅地,1.6863989535702288,1.7104946165781894,5.4,5.531696870060464
4.5,11,30.03,10,牧駅,その他,1.5040773967762742,1.4911813048993876,4.5,4.442340178840593
5.7,4,41.6,15,高城駅,郊外,1.7404661748405046,1.6759755014688609,5.700000000000001,5.344005692616287
4.8,10,30.36,17,大分駅,中心市街地,1.5686159179138452,1.7128909135165327,4.8,5.54496835319056
5.5,7,41.6,17,牧駅,その他,1.7047480922384253,1.6566138908131745,5.5,5.241532360610814
4.7,21,50.14,24,中判田駅,郊外,1.547562508716013,1.6154111682584902,4.7,5.029955656454081
