物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名
ミーティア皆春,大分県大分市大字皆春皆春,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩14分,築3年,3階,1LDK,41.85m2,6.2万円,https://suumo.jp/chintai/jnc_000099609246/?bc=100444885901,3,41.85,6.2,14,鶴崎駅
Ｔａｓｋ　III,大分県大分市上宗方南１,賀来駅,ＪＲ久大本線/賀来駅 バス15分 (バス停)椿ヶ丘団地入口 歩1分,築5年,2階,1K,32.23m2,5.1万円,https://suumo.jp/chintai/jnc_000099546248/?bc=100444733184,5,32.23,5.1,1,賀来駅
高城マナ－ハウス,大分県大分市高城西町,高城駅,ＪＲ日豊本線/高城駅 歩3分,築26年,6階,1K,25m2,4万円,https://suumo.jp/chintai/jnc_000099215299/?bc=100442367888,26,25.0,4.0,3,高城駅
リファレンス城崎,大分県大分市城崎町１,大分駅,"ＪＲ日豊本線/大分駅 歩19分
ＪＲ久大本線/古国府駅 歩36分
ＪＲ日豊本線/牧駅 歩33分",築35年,14階,2LDK,72m2,9.6万円,https://suumo.jp/chintai/jnc_000095578031/?bc=100438632371,35,72.0,9.6,19,大分駅
Park Avenue EAST,大分県大分市東大道２,大分駅,"ＪＲ日豊本線/大分駅 歩7分
ＪＲ久大本線/古国府駅 歩20分
ＪＲ久大本線/南大分駅 歩34分",築4年,14階,ワンルーム,35.03m2,7.4万円,https://suumo.jp/chintai/jnc_000069223835/?bc=100425097009,4,35.03,7.4,7,大分駅
リベラＥＳＴ,大分県大分市東鶴崎１,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩14分,築25年,2階,3LDK,65m2,4.5万円,https://suumo.jp/chintai/jnc_000083989920/?bc=100444699467,25,65.0,4.5,14,鶴崎駅
グリーンパークＣ,大分県大分市横塚２,大在駅,"ＪＲ日豊本線/大在駅 歩17分
ＪＲ日豊本線/坂ノ市駅 歩20分",築18年,2階,2LDK,54.85m2,4.7万円,https://suumo.jp/chintai/jnc_000099309048/?bc=100443675253,18,54.85,4.7,17,大在駅
チョコレート　コート,大分県大分市大在北４,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 バス8分 (バス停)北公園前 歩9分
ＪＲ日豊本線/坂ノ市駅 バス11分 (バス停)北公園前 歩9分",築17年,2階,1LDK,46.49m2,4.7万円,https://suumo.jp/chintai/jnc_000097543834/?bc=100437312035,17,46.49,4.7,20,大在駅
ジュネス　ヴィラ　Ｔ,大分県大分市南太平寺３,古国府駅,"ＪＲ久大本線/古国府駅 歩13分
ＪＲ久大本線/南大分駅 歩22分",築9年,2階,1LDK,32.44m2,4.9万円,https://suumo.jp/chintai/jnc_000099309050/?bc=100443357293,9,32.44,4.9,13,古国府駅
グレイス　ヴィラII,大分県大分市大在北３,,大分バス/久保 歩10分,築17年,2階,2LDK,57.33m2,5.6万円,https://suumo.jp/chintai/jnc_000096419966/?bc=100407735539,17,57.33,5.6,10,
サクラ　リア,大分県大分市三川上１,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩18分,築9年,2階,1LDK,40.09m2,4.9万円,https://suumo.jp/chintai/jnc_000099485876/?bc=100397433136,9,40.09,4.9,18,鶴崎駅
グレイスフル蔵Ｂ,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩9分,築15年,2階,1LDK,45.72m2,4.95万円,https://suumo.jp/chintai/jnc_000099523592/?bc=100444699461,15,45.72,4.95,9,大在駅
オーブ,大分県大分市大字津留,牧駅,ＪＲ日豊本線/牧駅 歩15分,築14年,2階,1LDK,42.8m2,5.15万円,https://suumo.jp/chintai/jnc_000099361098/?bc=100443557384,14,42.8,5.15,15,牧駅
ユニヴァリィ　イノバル,大分県大分市大字猪野,,大分バス/猪野下 歩4分,築14年,2階,2LDK,58.51m2,5.6万円,https://suumo.jp/chintai/jnc_000099475714/?bc=100444156102,14,58.51,5.6,4,
リバーサイド百笑　I,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩27分,築6年,2階,2LDK,61.3m2,5.45万円,https://suumo.jp/chintai/jnc_000099495037/?bc=100444255180,6,61.3,5.45,27,坂ノ市駅
シャーメゾン王ノ瀬　Ａ棟,大分県大分市王ノ瀬１,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩18分,築26年,2階,3DK,54.34m2,4.8万円,https://suumo.jp/chintai/jnc_000098267728/?bc=100434429394,26,54.34,4.8,18,坂ノ市駅
プロスペリタ,大分県大分市大字下徳丸,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩56分
ＪＲ日豊本線/大在駅 歩82分
ＪＲ日豊本線/高城駅 歩78分",築11年,2階,1LDK,44.95m2,4.8万円,https://suumo.jp/chintai/jnc_000016202523/?bc=100436585037,11,44.95,4.8,56,鶴崎駅
シャーメゾン・ハクサン　Ｂ棟,大分県大分市大字坂ノ市,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
大分バス/坂ノ市 歩2分",築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000098453688/?bc=100445001295,20,57.81,5.6,17,坂ノ市駅
ＣＯＲＩＮ大在,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩18分,築16年,7階,2LDK,58.03m2,6万円,https://suumo.jp/chintai/jnc_000082221926/?bc=100432345708,16,58.03,6.0,18,大在駅
アルメール,大分県大分市志村１,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩22分,築13年,2階,1LDK,45.07m2,4.95万円,https://suumo.jp/chintai/jnc_000098973144/?bc=100443059646,13,45.07,4.95,22,鶴崎駅
サンリバー,大分県大分市高松東３,高城駅,ＪＲ日豊本線/高城駅 歩13分,築6年,2階,1LDK,43.21m2,5.5万円,https://suumo.jp/chintai/jnc_000082152040/?bc=100444177552,6,43.21,5.5,13,高城駅
ベル　ブローテ,大分県大分市新栄町,高城駅,"ＪＲ日豊本線/高城駅 歩11分
ＪＲ日豊本線/牧駅 歩20分
ＪＲ日豊本線/大分駅 バス17分 (バス停)新貝 歩3分",築3年,5階,1LDK,41.6m2,5.5万円,https://suumo.jp/chintai/jnc_000099593614/?bc=100444962916,3,41.6,5.5,11,高城駅
カナージュ　１０,大分県大分市古国府５,古国府駅,ＪＲ久大本線/古国府駅 歩12分,築13年,3階,1SK,31.65m2,4.8万円,https://suumo.jp/chintai/jnc_000099292307/?bc=100436507846,13,31.65,4.8,12,古国府駅
クオーレ津守,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築7年,4階,1LDK,41.6m2,5.4万円,https://suumo.jp/chintai/jnc_000099173923/?bc=100442808954,7,41.6,5.4,10,滝尾駅
ホワイトライト,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩10分
ＪＲ日豊本線/高城駅 歩32分
ＪＲ日豊本線/大分駅 歩34分",築11年,8階,1DK,30.03m2,4.5万円,https://suumo.jp/chintai/jnc_000097823295/?bc=100431802639,11,30.03,4.5,10,牧駅
クオーレ日岡,大分県大分市日岡２,高城駅,ＪＲ日豊本線/高城駅 歩15分,築4年,5階,1LDK,41.6m2,5.7万円,https://suumo.jp/chintai/jnc_000099369640/?bc=100444305829,4,41.6,5.7,15,高城駅
ペパーミント,大分県大分市大字三芳,大分駅,"ＪＲ日豊本線/大分駅 歩17分
ＪＲ久大本線/古国府駅 歩25分
ＪＲ久大本線/南大分駅 歩31分",築10年,6階,1DK,30.36m2,4.8万円,https://suumo.jp/chintai/jnc_000097114388/?bc=100426439944,10,30.36,4.8,17,大分駅
G　PLACE　南津留,大分県大分市南津留,牧駅,"ＪＲ日豊本線/牧駅 歩17分
ＪＲ日豊本線/大分駅 歩32分
ＪＲ日豊本線/高城駅 歩39分",築7年,4階,1LDK,41.6m2,5.5万円,https://suumo.jp/chintai/jnc_000099222706/?bc=100442450892,7,41.6,5.5,17,牧駅
カ－サグレイスＢ,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 歩24分,築21年,2階,2LDK,50.14m2,4.7万円,https://suumo.jp/chintai/jnc_000099495039/?bc=100444699521,21,50.14,4.7,24,中判田駅
ＪＲ久大本線 賀来駅 8階建 築6年,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩12分
ＪＲ久大本線/南大分駅 歩20分",築6年,8階,1DK,30.69m2,4.8万円,https://suumo.jp/chintai/jnc_000099599990/?bc=100444866461,6,30.69,4.8,12,賀来駅
ＪＲ豊肥本線 滝尾駅 2階建 築25年,大分県大分市大字曲,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
大分バス/曲 歩3分",築25年,2階,3DK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000099628823/?bc=100445045048,25,54.81,5.2,20,滝尾駅
ディアスＨＩＲＯ　V,大分県大分市大字曲,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
ＪＲ豊肥本線/敷戸駅 歩20分
ＪＲ日豊本線/大分駅 バス15分 (バス停)光吉入口 歩10分",築25年,2階,2LDK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000094667760/?bc=100407971691,25,54.81,5.2,20,滝尾駅
プランドールＡ,大分県大分市大在北２,大在駅,ＪＲ日豊本線/大在駅 歩15分,築19年,2階,1LDK,46.49m2,4.75万円,https://suumo.jp/chintai/jnc_000099284726/?bc=100443918084,19,46.49,4.75,15,大在駅
ユーミーなでしこ,大分県大分市政所２,大在駅,"ＪＲ日豊本線/大在駅 歩12分
ＪＲ日豊本線/坂ノ市駅 歩39分
ＪＲ日豊本線/鶴崎駅 歩58分",築12年,3階,2LDK,56.85m2,6.5万円,https://suumo.jp/chintai/jnc_000099331527/?bc=100439747350,12,56.85,6.5,12,大在駅
ホームズ　コンフォールI,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 バス11分 (バス停)鶴崎駅前 歩7分
ＪＲ日豊本線/大分駅 バス26分 (バス停)鶴崎駅前 歩7分",築11年,3階,1K,31.65m2,4.5万円,https://suumo.jp/chintai/jnc_000096268540/?bc=100434350551,11,31.65,4.5,6,鶴崎駅
ブレーメン　リーベ　II,大分県大分市三川上２,高城駅,"ＪＲ日豊本線/高城駅 歩22分
ＪＲ日豊本線/鶴崎駅 バス5分 (バス停)千才下 歩8分
ＪＲ日豊本線/牧駅 バス15分 (バス停)千才下 歩8分",築11年,2階,2DK,45.82m2,5.2万円,https://suumo.jp/chintai/jnc_000096855346/?bc=100424661732,11,45.82,5.2,22,高城駅
フローレンス桃園,大分県大分市山津町１,高城駅,"ＪＲ日豊本線/高城駅 歩13分
ＪＲ日豊本線/牧駅 バス10分 (バス停)真光寺 歩4分
ＪＲ日豊本線/大分駅 バス26分 (バス停)真光寺 歩4分",築19年,2階,1LDK,42.8m2,4.7万円,https://suumo.jp/chintai/jnc_000099298349/?bc=100443358522,19,42.8,4.7,13,高城駅
パルジュ鶴崎,大分県大分市三佐４,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩15分,築20年,4階,2LDK,56.7m2,5.7万円,https://suumo.jp/chintai/jnc_000069847818/?bc=100444135302,20,56.7,5.7,15,鶴崎駅
メゾンコナカ　Ｂ棟,大分県大分市大字毛井,,大分バス/片嶺 歩5分,築19年,2階,2LDK,57.81m2,5.9万円,https://suumo.jp/chintai/jnc_000098050833/?bc=100439848486,19,57.81,5.9,5,
Ｍ・ジュールマンション,大分県大分市大字中戸次,中判田駅,"ＪＲ豊肥本線/中判田駅 歩30分
ＪＲ豊肥本線/大分大学前駅 バス11分 (バス停)戸次 歩3分
ＪＲ日豊本線/大分駅 バス35分 (バス停)戸次 歩3分",築16年,3階,3DK,60.97m2,5.8万円,https://suumo.jp/chintai/jnc_000095456438/?bc=100375081186,16,60.97,5.8,30,中判田駅
エトワール,大分県大分市大字奥田南太平寺,南大分駅,"ＪＲ久大本線/南大分駅 歩15分
ＪＲ久大本線/古国府駅 歩17分
ＪＲ久大本線/大分駅 歩30分",築20年,3階,2LDK,56.44m2,6.2万円,https://suumo.jp/chintai/jnc_000099619936/?bc=100444983279,20,56.44,6.2,15,南大分駅
フープ・スター,大分県大分市畑中１,南大分駅,"ＪＲ久大本線/南大分駅 歩27分
ＪＲ久大本線/古国府駅 歩33分
ＪＲ豊肥本線/滝尾駅 歩38分",築7年,2階,1LDK,38.25m2,5.4万円,https://suumo.jp/chintai/jnc_000099350370/?bc=100443578393,7,38.25,5.4,27,南大分駅
アクティブガーデンＡ,大分県大分市汐見２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩22分,築18年,2階,1LDK,46.49m2,4.45万円,https://suumo.jp/chintai/jnc_000099298353/?bc=100443358773,18,46.49,4.45,22,坂ノ市駅
ＡＢＢＥＹ　ＲＯＡＤ,大分県大分市花高松３,高城駅,"ＪＲ日豊本線/高城駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩44分
ＪＲ日豊本線/牧駅 歩41分",築15年,3階,2LDK,55.2m2,6.4万円,https://suumo.jp/chintai/jnc_000033003362/?bc=100443736998,15,55.2,6.4,20,高城駅
ディアス城原　B,大分県大分市大字城原,大在駅,"ＪＲ日豊本線/大在駅 歩13分
ＪＲ日豊本線/坂ノ市駅 歩33分",築28年,2階,2LDK,53.14m2,4.2万円,https://suumo.jp/chintai/jnc_000099321729/?bc=100443689353,28,53.14,4.2,13,大在駅
Ｙｏｕ　Ｍｅ　ＬｉｆｅII,大分県大分市大字津守,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩13分
ＪＲ久大本線/古国府駅 歩22分
ＪＲ日豊本線/大分駅 バス23分 (バス停)大分自動車学校入口 歩2分",築4年,5階,1LDK,41.06m2,6万円,https://suumo.jp/chintai/jnc_000099038562/?bc=100441113294,4,41.06,6.0,13,滝尾駅
セレ－ネ３１０　Ｂ,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩16分
ＪＲ久大本線/古国府駅 歩34分
ＪＲ日豊本線/牧駅 歩37分",築26年,2階,2DK,46.06m2,4.4万円,https://suumo.jp/chintai/jnc_000045070523/?bc=100421357867,26,46.06,4.4,16,滝尾駅
ディアス三川　Ａ棟,大分県大分市三川上１,鶴崎駅,"大分バス/乙津港町 歩8分
ＪＲ日豊本線/鶴崎駅 歩22分
ＪＲ日豊本線/高城駅 歩18分",築29年,2階,2LDK,50.9m2,5.1万円,https://suumo.jp/chintai/jnc_000099516836/?bc=100443689304,29,50.9,5.1,8,鶴崎駅
